subject id,jpg,Image,SDSS information,LEDA information,RA,DEC
25,SubjectSet_2/588016890638893203S.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=156.39557711&dec=37.83909841&size=512&layer=sdss2&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=588016890638893203&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j102534.93%2B375020.7&ob=ra,156.39557711,37.83909841
1,SubjectSet_2/587731512621531286S.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=54.73883356&dec=-0.03956522&size=512&layer=sdss2&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587731512621531286&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j033857.32-000222.4 </font></h2>%2B<td colspan=2><h2><font color=#000086>SDSS J033857.32-000222.4&ob=ra,54.73883356,-0.03956522
2,SubjectSet_5/587733079738417283S.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=181.32344051&dec=54.14984635&size=512&layer=sdss2&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587733079738417283&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j120517.62%2B540859.4&ob=ra,181.32344051,54.14984635
3,SubjectSet_2/587729233055973864S.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=255.79153768&dec=39.53461974&size=512&layer=sdss2&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587729233055973864&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j170309.96%2B393204.6&ob=ra,255.79153768,39.53461974
4,SubjectSet_6/588017720639815764S.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=169.12138461&dec=41.07833379&size=512&layer=sdss2&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=588017720639815764&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j111629.13%2B410442.0&ob=ra,169.12138461,41.07833379
5,SubjectSet_4/587733608016249125S.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=245.36968569&dec=39.55321366&size=512&layer=sdss2&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587733608016249125&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j162128.72%2B393311.5&ob=ra,245.36968569,39.55321366
6,SubjectSet_3/587725818568376485S.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=223.99273965&dec=62.88343857&size=512&layer=sdss2&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587725818568376485&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j145558.25%2B625300.3&ob=ra,223.99273965,62.88343857
7,SubjectSet_4/587738616493178955S.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=182.39761615&dec=37.06997613&size=512&layer=sdss2&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587738616493178955&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j120935.42%2B370411.9&ob=ra,182.39761615,37.06997613
9,SubjectSet_6/587729409153302724S.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=252.46321508&dec=40.4333941&size=512&layer=sdss2&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587729409153302724&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j164951.17%2B402600.2&ob=ra,252.46321508,40.4333941
8,SubjectSet_2/587736753006248115S.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=243.76827072&dec=31.7845702&size=512&layer=sdss2&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587736753006248115&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j161504.38%2B314704.4&ob=ra,243.76827072,31.7845702
