classification_id,x,y,rx,ry,angle,filename, spiral percentage
24555394, 256.00, 256.00, 57.69, 29.28, 82.23,  587736753006248115S.jpeg, 0.80
24555404, 256.00, 256.00, 78.23, 61.95, -1.60,  587735241710108749D.jpeg, 0.53
24555408, 256.00, 256.00, 74.76, 59.09, -21.22,  587725551731736880S.jpeg, 0.87
24555379, 256.00, 256.00, 68.95, 31.84, 49.11,  588016890638893203S.jpeg, 0.87
24555392, 256.00, 256.00, 68.82, 41.00, -6.46,  587729409153302724S.jpeg, 0.67
24555409, 256.00, 256.00, 139.47, 77.59, -1.74,  587729231979872444S.jpeg, 1.00
24555382, 256.00, 256.00, 51.47, 21.07, 26.88,  587733079738417283S.jpeg, 0.40
24555397, 256.00, 256.00, 70.90, 36.94, 1.74,  587735348547683041D.jpeg, 1.00
24555385, 256.00, 256.00, 133.39, 84.31, -29.17,  588017720639815764S.jpeg, 0.73
24555398, 256.00, 256.00, 73.68, 41.10, 68.19,  588017992299642922D.jpeg, 1.00
24555413, 256.00, 256.00, 52.88, 27.57, 57.25,  587741602566045849S.jpeg, 0.53
24555387, 256.00, 256.00, 78.67, 41.50, -64.14,  587733608016249125S.jpeg, 1.00
24555400, 256.00, 256.00, 133.15, 51.64, -3.58,  587736804544741515D.jpeg, 1.00
24555390, 256.00, 256.00, 74.27, 62.71, -89.02,  587738616493178955S.jpeg, 0.73
24555411, 256.00, 256.00, 52.76, 24.49, 42.88,  587739381525971104D.jpeg, 0.07
24555414, 256.00, 256.00, 50.60, 41.35, 28.46,  587739607561666674D.jpeg, 0.87
24555395, 256.00, 256.00, 47.56, 32.65, 47.11,  587738947214704685S.jpeg, 1.00
24555417, 256.00, 256.00, 52.83, 43.00, 1.33,  587731514216087624D.jpeg, 1.00
24555380, 256.00, 256.00, 67.87, 40.50, 75.47,  587731512621531286S.jpeg, 1.00
24555403, 256.00, 256.00, 40.98, 35.80, -37.29,  587732582053642405S.jpeg, 1.00
24555389, 256.00, 256.00, 55.37, 25.78, -87.18,  587725818568376485S.jpeg, 1.00
24555418, 256.00, 256.00, 39.58, 34.19, 0.03,  587742015431639136D.jpeg, 0.87
24555406, 256.00, 256.00, 96.82, 64.10, -56.79,  587729231441821939S.jpeg, 1.00
24555401, 256.00, 256.00, 100.31, 83.22, 34.50,  587736915676364895D.jpeg, 0.47
24555384, 256.00, 256.00, 77.64, 38.40, 42.05,  587729233055973864S.jpeg, 0.80
