subject_id,x,y,rx,ry,angle, filename, spiral percentage
24555394,256.00,256.00,62.16,34.61,85.86, 587736753006248115S.jpeg, 1
24555404,256.00,256.00,77.04,66.66,6.71, 587735241710108749D.jpeg, 1
24555408,256.00,256.00,83.16,69.79,-47.19, 587725551731736880S.jpeg, 1
24555379,256.00,256.00,81.23,33.67,49.20, 588016890638893203S.jpeg, 1
24555392,256.00,256.00,68.41,48.58,-8.86, 587729409153302724S.jpeg, 1
24555409,256.00,256.00,128.25,79.45,-6.13, 587729231979872444S.jpeg, 1
24555382,256.00,256.00,54.79,22.20,31.15, 587733079738417283S.jpeg, 1
24555397,256.00,256.00,73.04,39.26,6.56, 587735348547683041D.jpeg, 1
24555385,256.00,256.00,116.44,105.29,-37.08, 588017720639815764S.jpeg, 1
24555398,256.00,256.00,74.49,41.95,74.80, 588017992299642922D.jpeg, 1
24555413,256.00,256.00,52.14,27.87,57.43, 587741602566045849S.jpeg, 1
24555387,256.00,256.00,71.39,40.37,-68.19, 587733608016249125S.jpeg, 1
24555400,256.00,256.00,121.53,53.00,-0.52, 587736804544741515D.jpeg, 1
24555390,256.00,256.00,95.07,72.45,-64.67, 587738616493178955S.jpeg, 1
24555411,256.00,256.00,57.23,27.92,44.25, 587739381525971104D.jpeg, 0
24555414,256.00,256.00,49.06,43.48,87.10, 587739607561666674D.jpeg, 1
24555395,256.00,256.00,45.76,39.23,49.89, 587738947214704685S.jpeg, 1
24555417,256.00,256.00,60.69,55.27,4.73, 587731514216087624D.jpeg, 1
24555380,256.00,256.00,71.98,51.67,77.71, 587731512621531286S.jpeg, 1
24555403,256.00,256.00,40.03,37.13,-43.35, 587732582053642405S.jpeg, 1
24555389,256.00,256.00,60.60,30.50,-81.92, 587725818568376485S.jpeg, 1
24555418,256.00,256.00,43.59,36.09,4.00, 587742015431639136D.jpeg, 1
24555406,256.00,256.00,98.54,74.19,-57.37, 587729231441821939S.jpeg, 1
24555401,256.00,256.00,107.55,94.60,63.20, 587736915676364895D.jpeg, 1
24555384,256.00,256.00,80.95,45.61,43.65, 587729233055973864S.jpeg, 1
24555414,256.00,256.00,43.81,33.21,73.47, 587739607561666674D.jpeg, 1
24555401,256.00,256.00,93.54,68.21,26.59, 587736915676364895D.jpeg, 0
24555400,256.00,256.00,107.98,45.62,-9.60, 587736804544741515D.jpeg, 1
24555413,256.00,256.00,51.57,24.25,56.49, 587741602566045849S.jpeg, 0
24555408,256.00,256.00,82.77,67.57,-24.25, 587725551731736880S.jpeg, 1
24555380,256.00,256.00,70.99,39.66,70.87, 587731512621531286S.jpeg, 1
24555406,256.00,256.00,99.68,57.38,-52.41, 587729231441821939S.jpeg, 1
24555390,256.00,256.00,64.23,53.51,85.12, 587738616493178955S.jpeg, 1
24555409,256.00,256.00,136.65,62.10,-3.20, 587729231979872444S.jpeg, 1
24555379,256.00,256.00,61.15,22.96,46.01, 588016890638893203S.jpeg, 1
24555392,256.00,256.00,64.96,32.65,-7.07, 587729409153302724S.jpeg, 0
24555418,256.00,256.00,29.49,28.01,1.09, 587742015431639136D.jpeg, 0
24555384,256.00,256.00,64.05,29.54,42.17, 587729233055973864S.jpeg, 1
24555397,256.00,256.00,64.85,31.00,0.98, 587735348547683041D.jpeg, 1
24555404,256.00,256.00,68.95,33.88,-37.17, 587735241710108749D.jpeg, 0
24555394,256.00,256.00,48.74,24.65,83.01, 587736753006248115S.jpeg, 1
24555403,256.00,256.00,35.09,22.19,-31.12, 587732582053642405S.jpeg, 1
