subject_id,x,y,rx,ry,angle, filename
21796261,255.97,254.62,151.64,75.82,-64.62, 588017725485482087.jpg
21796262,270.97,279.62,145.91,72.95,-55.33, 587739096982880400.jpg
21796260,255.97,258.62,130.82,65.41,44.69, 588017721723977832.jpg
21796261,260.97,253.62,149.91,74.96,44.46, 588017725485482087.jpg
21796262,260.97,264.62,156.73,37.44,40.60, 587739096982880400.jpg
21796261,259.97,258.62,154.40,29.41,36.57, 588017725485482087.jpg
21796260,257.97,255.62,162.73,29.73,-46.99, 588017721723977832.jpg
21796262,251.97,258.62,162.27,37.54,-48.75, 587739096982880400.jpg
21796261,256.97,262.62,128.10,124.00,-89.54, 588017725485482087.jpg
21796260,260.97,254.62,133.02,129.00,-89.14, 588017721723977832.jpg
21796262,255.97,261.62,138.13,133.03,-88.71, 587739096982880400.jpg
21796261,259.97,259.62,128.00,127.02,0.90, 588017725485482087.jpg
21796260,256.97,254.62,121.00,60.50,-0.47, 588017721723977832.jpg
21796261,262.97,261.62,124.00,62.00,0.00, 588017725485482087.jpg
21796262,259.97,261.62,137.00,61.00,0.42, 587739096982880400.jpg
21796261,259.97,257.62,128.04,61.01,0.94, 588017725485482087.jpg
21796260,257.97,254.62,55.01,51.73,1.04, 588017721723977832.jpg
21796261,255.97,260.62,78.54,77.01,-89.26, 588017725485482087.jpg
21796262,31.97,35.62,26.00,24.02,-90.00, 587739096982880400.jpg
21796260,468.97,34.62,28.02,28.00,0.00, 588017721723977832.jpg
21796261,26.97,484.62,29.02,28.00,-90.00, 588017725485482087.jpg
21796260,468.97,476.62,32.02,32.00,88.21, 588017721723977832.jpg
