subject id,jpg,Image,SDSS information,LEDA information,RA,DEC
0,SubjectSet_1/587739609160417293.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=174.37369734&dec=32.2524595&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587739609160417293&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j113729.68%2B321508.8&ob=ra,174.37369734,32.2524595
1,SubjectSet_1/587741489832329277.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=161.45751397&dec=27.61978865&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587741489832329277&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j104549.80%2B273711.2&ob=ra,161.45751397,27.61978865
2,SubjectSet_1/587739845929926848.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=240.14899837&dec=15.68563232&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587739845929926848&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j160035.75%2B154108.2&ob=ra,240.14899837,15.68563232
3,SubjectSet_1/587732580981800993.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=166.70649888&dec=57.68545329&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587732580981800993&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j110649.55%2B574107.6&ob=ra,166.70649888,57.68545329
4,SubjectSet_1/587738409251635215.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=150.26415629&dec=11.46141825&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587738409251635215&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j100103.39%2B112741.1&ob=ra,150.26415629,11.46141825
5,SubjectSet_1/588011123038093364.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=176.29758825&dec=61.7085113&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=588011123038093364&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j114511.42%2B614230.6&ob=ra,176.29758825,61.7085113
6,SubjectSet_1/587738411409342491.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=174.07000972&dec=15.470237&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587738411409342491&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j113616.80%2B152812.8&ob=ra,174.07000972,15.470237
7,SubjectSet_1/588017704531853356.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=158.3892926&dec=11.87137752&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=588017704531853356&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j103333.43%2B115216.9&ob=ra,158.3892926,11.87137752
8,SubjectSet_1/587741601490993168.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=174.12705029&dec=26.8607893&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587741601490993168&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j113630.49%2B265138.8&ob=ra,174.12705029,26.8607893
9,SubjectSet_1/587739845393186912.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=240.21455489&dec=15.1512612&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587739845393186912&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j160051.49%2B150904.5&ob=ra,240.21455489,15.1512612
