subject id,jpg,Image,SDSS information,LEDA information,RA,DEC
0,SubjectSet_28/588017725470539956D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=176.54324144&dec=7.51736606&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=588017725470539956&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j114610.37%2B073102.5&ob=ra,176.54324144,7.51736606
1,SubjectSet_28/588017991230685339D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=213.80435972&dec=8.7820112&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=588017991230685339&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j141513.04%2B084655.2&ob=ra,213.80435972,8.7820112
2,SubjectSet_28/588023668100694162D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=190.50949369&dec=18.98778588&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=588023668100694162&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j124202.27%2B185916.0&ob=ra,190.50949369,18.98778588
3,SubjectSet_28/587730845817504260D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=321.91682856&dec=-1.14592161&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587730845817504260&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j212740.03-010845.3 </font></h2>%2B<td colspan=2><h2><font color=#000086>SDSS J212740.03-010845.3&ob=ra,321.91682856,-1.14592161
4,SubjectSet_28/587735237419008037D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=121.5483272&dec=25.01205577&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587735237419008037&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j080611.59%2B250043.4&ob=ra,121.5483272,25.01205577
5,SubjectSet_28/587739407330902222S.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=217.09644405&dec=30.87515899&size=512&layer=sdss2&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587739407330902222&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j142823.14%2B305230.5&ob=ra,217.09644405,30.87515899
6,SubjectSet_28/587731514224738434D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=37.80520813&dec=1.24480449&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587731514224738434&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j023113.24%2B011441.2&ob=ra,37.80520813,1.24480449
7,SubjectSet_28/588017705084125325D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=194.38354019&dec=13.47231&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=588017705084125325&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j125732.04%2B132820.3&ob=ra,194.38354019,13.47231
8,SubjectSet_28/587731185129750726D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=359.11374758&dec=-0.84467736&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587731185129750726&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j235627.29-005040.8 </font></h2>%2B<td colspan=2><h2><font color=#000086>SDSS J235627.29-005040.8&ob=ra,359.11374758,-0.84467736
9,SubjectSet_28/588023046940524755D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=137.48187804&dec=19.37790245&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=588023046940524755&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j090955.65%2B192240.4&ob=ra,137.48187804,19.37790245
