subject id,jpg,Image,SDSS information,LEDA information,RA,DEC
0,SubjectSet_20/587725590922920350.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=265.07997849&dec=55.25382604&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587725590922920350&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j174019.19%2B551513.7&ob=ra,265.07997849,55.25382604
1,SubjectSet_20/587722982829981942.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=216.88216861&dec=-0.29013127&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587722982829981942&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j142731.72-001724.4 </font></h2>%2B<td colspan=2><h2><font color=#000086>SDSS J142731.72-001724.4&ob=ra,216.88216861,-0.29013127
2,SubjectSet_20/587732579385933949.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=165.49560642&dec=8.10890965&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587732579385933949&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j110158.94%2B080632.0&ob=ra,165.49560642,8.10890965
3,SubjectSet_20/587739709019127980.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=212.64987822&dec=28.17184905&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587739709019127980&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j141035.97%2B281018.6&ob=ra,212.64987822,28.17184905
4,SubjectSet_20/587729387135041899.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=124.69629267&dec=40.83018665&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587729387135041899&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j081847.11%2B404948.6&ob=ra,124.69629267,40.83018665
5,SubjectSet_20/587742061049282786.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=128.78771457&dec=12.61130226&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587742061049282786&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j083509.05%2B123640.6&ob=ra,128.78771457,12.61130226
6,SubjectSet_20/587725552285974621.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=183.08926019&dec=68.12025889&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587725552285974621&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j121221.42%2B680712.9&ob=ra,183.08926019,68.12025889
7,SubjectSet_20/588297864180858994.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=140.10201139&dec=37.52254522&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=588297864180858994&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j092024.48%2B373121.1&ob=ra,140.10201139,37.52254522
8,SubjectSet_20/587741816251023533.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=163.21461562&dec=23.1021565&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587741816251023533&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j105251.50%2B230607.7&ob=ra,163.21461562,23.1021565
9,SubjectSet_20/587736942529478739.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=241.3638747&dec=25.85772874&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587736942529478739&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j160527.32%2B255127.8&ob=ra,241.3638747,25.85772874
