Dr, RA, DA, spiral_weighted, loose_plus_medium, arms_tight, arms_medium, arms_loose, irregular 
0.000000, 231.469116, 7.819623, 0.929175, 1.000000, 0.000000, 0.634000, 0.366000, 0.000000
0.000000, 143.211075, 59.744648, 0.936293, 1.000000, 0.000000, 0.062000, 0.938000, 0.000000
0.000000, 208.944946, 25.840368, 0.967000, 1.000000, 0.000000, 0.656000, 0.344000, 0.000000
0.000000, 239.107925, 9.055179, 1.000000, 1.000000, 0.000000, 0.533000, 0.467000, 0.000000
0.000000, 228.314850, 40.518753, 0.980000, 1.000000, 0.000000, 0.122000, 0.878000, 0.200000
0.000000, 230.521729, 5.854865, 0.865316, 1.000000, 0.000000, 0.094000, 0.906000, 0.250000
0.000000, 209.670135, 34.524540, 0.903093, 1.000000, 0.000000, 0.188000, 0.812000, 0.286000
0.000000, 197.295242, 22.466335, 0.975000, 1.000000, 0.000000, 0.179000, 0.821000, 0.053000
0.000000, 226.863052, 3.202747, 0.978000, 1.000000, 0.000000, 0.159000, 0.841000, 0.111000
0.000000, 222.791092, 18.575394, 0.976000, 1.000000, 0.000000, 0.325000, 0.675000, 0.000000
0.000000, 158.117386, 27.170616, 0.999000, 1.000000, 0.000000, 0.152000, 0.848000, 0.273000
0.000000, 239.449020, 16.282309, 0.999000, 1.000000, 0.000000, 0.639000, 0.361000, 0.000000
0.000000, 137.179901, 13.233473, 0.925270, 1.000000, 0.000000, 0.186000, 0.814000, 0.000000
0.000000, 214.702072, 10.843819, 0.939000, 1.000000, 0.000000, 0.161000, 0.839000, 0.222000
0.000000, 218.134354, 55.719051, 0.999000, 1.000000, 0.000000, 0.469000, 0.531000, 0.000000
0.000000, 161.922790, 38.789650, 0.960000, 1.000000, 0.000000, 0.208000, 0.792000, 0.000000
0.000000, 253.309967, 25.133116, 0.854198, 1.000000, 0.000000, 0.351000, 0.649000, 0.000000
0.000000, 229.875717, 49.506416, 0.854658, 1.000000, 0.000000, 0.167000, 0.833000, 0.000000
0.000000, 185.123032, 10.245167, 0.951600, 1.000000, 0.000000, 0.128000, 0.872000, 0.000000
0.000000, 238.578796, 12.125754, 0.894187, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000
0.000000, 316.186981, -0.215802, 0.915365, 1.000000, 0.000000, 0.116000, 0.884000, 0.128000
0.000000, 167.293304, 8.185529, 0.952576, 1.000000, 0.000000, 0.000000, 1.000000, 0.310000
