RA, DA, classifications, disk, faceon, spiral, spiral_weighted, bulge_1, bulge_2, bulge_3, bulge_4, arms_tight, arms_medium, arms_loose, arms_1, arms_2, arms_3, arms_4, arms_5, arms_6, irregular 
135.084396, 52.494240, 42, 0.976000, 1.000000, 1.000000, 0.976000, 0.000000, 0.298000, 0.453000, 0.249000, 0.871000, 0.080000, 0.050000, 0.000000, 0.099000, 0.050000, 0.025000, 0.503000, 0.323000, 0.000000
243.146759, 29.365067, 35, 1.000000, 1.000000, 1.000000, 1.000000, 0.029000, 0.118000, 0.618000, 0.235000, 0.824000, 0.176000, 0.000000, 0.118000, 0.029000, 0.059000, 0.118000, 0.442000, 0.235000, 0.000000
183.591873, 56.011436, 52, 0.980000, 0.980000, 0.837000, 0.803855, 0.000000, 0.327000, 0.571000, 0.102000, 0.927000, 0.073000, 0.000000, 0.268000, 0.390000, 0.073000, 0.024000, 0.024000, 0.220000, 0.000000
240.668961, 37.359493, 45, 0.956000, 0.977000, 1.000000, 0.934012, 0.000000, 0.317000, 0.659000, 0.024000, 0.857000, 0.143000, 0.000000, 0.071000, 0.238000, 0.143000, 0.143000, 0.095000, 0.310000, 0.167000
249.135696, 39.027874, 51, 0.998000, 0.980000, 1.000000, 0.978040, 0.020000, 0.490000, 0.490000, 0.000000, 0.531000, 0.408000, 0.061000, 0.000000, 0.980000, 0.020000, 0.000000, 0.000000, 0.000000, 0.000000
221.750427, 11.592021, 42, 0.976000, 0.976000, 0.975000, 0.928762, 0.000000, 0.300000, 0.650000, 0.050000, 0.718000, 0.256000, 0.026000, 0.026000, 0.513000, 0.128000, 0.154000, 0.026000, 0.154000, 0.083000
136.796234, 50.712746, 29, 0.966000, 0.964000, 1.000000, 0.931224, 0.000000, 0.148000, 0.667000, 0.185000, 0.889000, 0.111000, 0.000000, 0.037000, 0.074000, 0.296000, 0.111000, 0.222000, 0.259000, 0.000000
116.657120, 44.790520, 52, 0.942000, 0.939000, 0.804000, 0.711169, 0.022000, 0.326000, 0.565000, 0.087000, 0.703000, 0.216000, 0.081000, 0.027000, 0.189000, 0.081000, 0.000000, 0.000000, 0.703000, 0.000000
160.856049, 40.774212, 48, 1.000000, 1.000000, 1.000000, 1.000000, 0.043000, 0.434000, 0.477000, 0.046000, 0.325000, 0.564000, 0.111000, 0.000000, 0.111000, 0.651000, 0.108000, 0.022000, 0.108000, 0.000000
184.473007, 17.442104, 44, 1.000000, 0.955000, 1.000000, 0.955000, 0.000000, 0.500000, 0.452000, 0.048000, 0.476000, 0.429000, 0.095000, 0.000000, 0.929000, 0.048000, 0.000000, 0.024000, 0.000000, 0.100000
236.941498, 28.641693, 44, 0.990000, 0.977000, 1.000000, 0.967230, 0.000000, 0.449000, 0.504000, 0.048000, 0.504000, 0.473000, 0.024000, 0.000000, 0.024000, 0.000000, 0.120000, 0.712000, 0.144000, 0.111000
330.816650, 0.571094, 42, 0.975000, 0.981000, 1.000000, 0.956475, 0.000000, 0.205000, 0.718000, 0.077000, 0.051000, 0.513000, 0.436000, 0.000000, 0.923000, 0.051000, 0.000000, 0.026000, 0.000000, 0.222000
238.346573, 11.959178, 45, 0.978000, 1.000000, 1.000000, 0.978000, 0.048000, 0.674000, 0.278000, 0.000000, 0.600000, 0.306000, 0.094000, 0.000000, 0.000000, 0.024000, 0.337000, 0.615000, 0.024000, 0.200000
225.338104, 1.637075, 44, 1.000000, 1.000000, 0.977000, 0.977000, 0.000000, 0.137000, 0.794000, 0.069000, 0.226000, 0.680000, 0.094000, 0.000000, 0.188000, 0.633000, 0.062000, 0.047000, 0.070000, 0.000000
166.881683, 0.783104, 43, 1.000000, 0.976000, 1.000000, 0.976000, 0.024000, 0.429000, 0.524000, 0.024000, 0.905000, 0.095000, 0.000000, 0.000000, 0.317000, 0.049000, 0.098000, 0.415000, 0.122000, 0.000000
140.721085, 21.975183, 48, 1.000000, 0.975000, 1.000000, 0.975000, 0.065000, 0.543000, 0.370000, 0.022000, 0.174000, 0.435000, 0.391000, 0.000000, 0.848000, 0.065000, 0.000000, 0.043000, 0.043000, 0.000000
232.825333, 7.457753, 53, 0.997000, 0.981000, 1.000000, 0.978057, 0.020000, 0.529000, 0.451000, 0.000000, 0.529000, 0.431000, 0.039000, 0.000000, 0.020000, 0.510000, 0.255000, 0.118000, 0.098000, 0.000000
218.940582, 24.725796, 47, 1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 0.638000, 0.340000, 0.021000, 0.043000, 0.553000, 0.404000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
165.047470, 45.737835, 45, 0.977000, 0.930000, 1.000000, 0.908610, 0.025000, 0.550000, 0.425000, 0.000000, 0.775000, 0.225000, 0.000000, 0.000000, 0.025000, 0.025000, 0.050000, 0.725000, 0.175000, 0.000000
222.399262, 25.381334, 41, 0.927000, 0.947000, 0.971000, 0.852411, 0.029000, 0.343000, 0.543000, 0.086000, 0.647000, 0.265000, 0.088000, 0.206000, 0.235000, 0.029000, 0.059000, 0.029000, 0.441000, 0.062000
