Dr, RA, DA, spiral_weighted, loose_plus_medium, arms_tight, arms_medium, arms_loose, irregular 
0,238.578796,12.125754,0.894187,1,0,0,1,0
0,133.905319,7.844087,0.953552,1,0,0.116,0.884,0.261
0,199.182037,-0.957441,0.93702,1,0,0.122,0.878,0
0,182.001328,53.773319,0.94,1,0,0.312,0.688,0
0,211.422684,46.427448,0.970125,1,0,0.41,0.59,0.139
0,201.138351,32.613319,0.952,1,0,0.025,0.975,0.143
0,208.582047,7.386757,0.81442,1,0,0.261,0.739,0
0,223.420196,54.262657,0.9604,1,0,0.429,0.571,0
0,188.631424,-0.765117,0.963036,1,0,0.63,0.37,0
0,232.68486,-1.37865,0.974,1,0,0.395,0.605,0.286
0,208.555008,19.592331,0.964,1,0,0.481,0.519,0
0,185.376617,67.61171,0.904,1,0,0.419,0.581,0.158
0,173.986374,33.16246,0.883534,1,0,0.387,0.613,0
0,144.049225,17.015547,0.976,1,0,0.167,0.833,0.25
0,173.961014,-3.095703,0.98802,1,0,0.091,0.909,0.156
0,198.149704,21.305021,0.90986,1,0,0.433,0.567,0
0,231.986343,7.858884,0.846044,1,0,0.061,0.939,0.222
0,202.494339,9.403436,0.88561,1,0,0.281,0.719,0.319
0,168.790619,8.783935,0.930104,1,0,0.225,0.775,0
0,225.150055,48.055832,0.9516,1,0,0.478,0.522,0
0,120.788635,51.691082,0.921155,1,0,0.079,0.921,0.133
0,217.129471,1.646487,0.997,1,0,0.406,0.594,0
0,219.850632,25.620277,0.766503,1,0,0.154,0.846,0.053
0,212.395142,52.559071,0.777919,1,0,0.371,0.629,0.03
0,163.791641,51.678734,0.939658,1,0,0.367,0.633,0.107
0,224.43399,33.906353,1,1,0,0.583,0.417,0
0,253.157669,31.734594,0.833744,1,0,0.342,0.658,0.125
0,254.998428,62.541641,0.779692,1,0,0.56,0.44,0
0,219.497238,17.848124,0.975,1,0,0.465,0.535,0
0,220.703949,55.153011,0.928071,1,0,0.077,0.923,0.231
0,160.961609,19.735563,0.72089,1,0,0.258,0.742,0.143
0,152.359665,18.834684,0.872407,1,0,0.372,0.628,0.32
0,224.160233,18.270372,0.972,1,0,0.8,0.2,0.143
0,119.553383,51.829208,0.87512,1,0,0.289,0.711,0.091
0,126.500267,59.560852,0.799268,1,0,0.056,0.944,0
0,200.457062,29.825218,0.806364,1,0,0,1,0.2
0,164.666351,37.803875,0.936903,1,0,0.159,0.841,0
0,120.109512,48.297272,1,1,0,0.63,0.37,0
0,225.42334,44.930813,0.934122,1,0,0.286,0.714,0
0,194.016083,18.612417,0.672352,1,0,0.032,0.968,0.043
0,206.198334,56.74387,1,1,0,0.075,0.925,0
0,234.722885,10.930467,0.883474,1,0,0.133,0.867,0.167
0,232.701279,21.638763,0.827931,1,0,0.042,0.958,0
0,236.745346,17.884176,0.889002,1,0,0.225,0.775,0.256
0,155.372711,5.941789,0.96129,1,0,0.364,0.636,0
0,187.535675,37.555843,0.92352,1,0,0.125,0.875,0.286
0,117.543907,30.685087,0.99,1,0,0.026,0.974,0.25
0,169.471161,54.646889,0.694803,0.672,0.328,0.385,0.287,0.27
0,125.048546,24.79862,0.745367,0.674,0.326,0.526,0.148,0.286
0,208.519348,13.593841,0.976,0.675,0.325,0.5,0.175,0
0,216.388428,33.848125,0.88147,0.675,0.324,0.432,0.243,0.167
0,137.610977,1.896564,0.900117,0.676,0.324,0.588,0.088,0
0,204.688385,24.128712,0.949,0.676,0.324,0.595,0.081,0
0,195.988937,19.522146,0.882639,0.677,0.324,0.559,0.118,0
0,134.955994,52.197834,0.837753,0.677,0.323,0.645,0.032,0.25
0,122.580528,52.095009,0.888975,0.678,0.323,0.484,0.194,0
0,214.042664,26.257778,0.754446,0.678,0.321,0.607,0.071,0
0,154.690002,1.829704,0.919672,0.68,0.32,0.58,0.1,0
0,220.519577,19.020939,0.692952,0.68,0.32,0.4,0.28,0
0,177.191483,8.493607,1,0.682,0.318,0.568,0.114,0.2
0,240.555237,15.937523,0.81954,0.683,0.317,0.463,0.22,0
0,118.512795,38.513897,0.743036,0.684,0.316,0.488,0.196,0.212
0,217.404419,15.106476,0.991,0.685,0.316,0.553,0.132,0.2
0,175.490524,53.957264,0.897054,0.686,0.314,0.457,0.229,0
0,183.162216,40.07832,0.881228,0.686,0.314,0.605,0.081,0
0,231.366455,4.784626,0.67392,0.687,0.312,0.656,0.031,0
0,218.328354,46.599369,0.796822,0.688,0.312,0.469,0.219,0.286
0,148.548309,7.127414,0.892997,0.689,0.31,0.534,0.155,0.167
0,251.01973,21.294775,0.934,0.69,0.31,0.621,0.069,0
0,137.866211,33.853416,0.82904,0.69,0.31,0.483,0.207,0
0,217.639969,25.51379,0.788103,0.692,0.308,0.654,0.038,0.143
0,225.969467,24.876156,0.759182,0.692,0.308,0.615,0.077,0
0,228.720322,17.523996,0.7803,0.693,0.308,0.231,0.462,0.2
0,212.089829,55.301487,0.947,0.694,0.306,0.444,0.25,0
0,221.554123,15.90957,0.761104,0.695,0.306,0.639,0.056,0.167
0,166.267578,50.997185,0.67712,0.695,0.304,0.652,0.043,0
0,133.545059,39.636864,0.732292,0.697,0.303,0.636,0.061,0
0,257.972137,31.600079,0.698436,0.697,0.303,0.455,0.242,0.091
0,181.695374,35.311344,0.927421,0.7,0.3,0.567,0.133,0
0,209.014175,13.505839,0.938,0.7,0.3,0.433,0.267,0.167
0,155.437592,11.615035,0.952,0.7,0.3,0.55,0.15,0
0,240.215027,28.106558,1,0.702,0.298,0.617,0.085,0
0,205.691422,9.446903,0.94478,0.703,0.297,0.541,0.162,0
0,155.897476,20.284918,0.794204,0.704,0.296,0.593,0.111,0
0,217.123612,36.485962,0.93,0.704,0.296,0.63,0.074,0.125
0,135.977417,47.996185,0.847543,0.705,0.294,0.529,0.176,0.167
0,218.972809,55.939156,0.866016,0.706,0.294,0.588,0.118,0.239
0,256.757019,31.421823,0.93208,0.707,0.293,0.561,0.146,0
0,220.654587,47.343899,0.921154,0.708,0.292,0.375,0.333,0.198
0,228.932449,57.325768,0.737665,0.709,0.29,0.548,0.161,0.152
